Visitor Arrivals by Nationality & Purpose of Visit to Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Apr-24,,Europe Total,,,,,United Kingdom,,,,,France,,,,,Germany,,,,,Italy,,,,,Russia,,,,,Spain,,,,,Sweden,,,,,Netherland,,,,,Swiss,,,,,Belgium,,,,,Finland,,,,,Poland,,,,,Denmark,,,,,Norway,,,,,Austria,,,,,Portugal,,,,,Ireland,,,,,Europe Unclassified,,,,,,,,,,
,,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,,,,,,
,May．,"164,278 ","127,870 ","26,822 ","9,586 ",0 ,"31,642 ","24,628 ","5,140 ","1,874 ",0 ,"30,863 ","24,792 ","3,907 ","2,164 ",0 ,"21,552 ","15,060 ","5,340 ","1,152 ",0 ,"12,463 ","9,728 ","2,143 ",592 ,0 ,"9,691 ","7,330 ","1,638 ",723 ,0 ,"9,971 ","8,580 ",913 ,478 ,0 ,"4,171 ","3,166 ",812 ,193 ,0 ,"7,502 ","6,021 ","1,225 ",256 ,0 ,"4,608 ","3,814 ",628 ,166 ,0 ,"3,351 ","2,570 ",628 ,153 ,0 ,"3,102 ","2,500 ",472 ,130 ,0 ,"3,442 ","2,885 ",367 ,190 ,0 ,"2,404 ","1,821 ",513 ,70 ,0 ,"1,537","1,218",267,52,0,"2,179 ","1,638 ",476 ,65 ,0 ,"2,728 ","2,432",215,81,0,"1,949 ","1,364 ",420 ,165 ,0 ,"11,123","8,323","1,718","1,082",0,,,,,,
,Jun．,"134,028 ","101,733 ","24,292 ","8,003 ",0 ,"25,801 ","19,413 ","4,981 ","1,407 ",0 ,"21,317 ","16,084 ","3,769 ","1,464 ",0 ,"15,697 ","10,558 ","4,274 ",865 ,0 ,"11,357 ","8,657 ","1,995 ",705 ,0 ,"8,844 ","6,421 ","1,582 ",841 ,0 ,"9,762 ","8,581 ",780 ,401 ,0 ,"5,321 ","4,470 ",683 ,168 ,0 ,"4,930 ","3,554 ","1,197 ",179 ,0 ,"3,145 ","2,499 ",524 ,122 ,0 ,"2,553 ","1,786 ",596 ,171 ,0 ,"3,054 ","2,627 ",348 ,79 ,0 ,"2,721 ","2,149 ",354 ,218 ,0 ,"1,980 ","1,482 ",433 ,65 ,0 ,2453,2164,236,53,0,"1,732 ","1,268 ",384 ,80 ,0 ,"2,577 ",2283,227,67,0,"1,887 ","1,405 ",381 ,101 ,0 ,8897,6332,1548,1017,0,,,,,,
,Jul．,"178,049 ","147,539 ","22,080 ","8,430 ",0 ,"28,928 ","22,762 ","4,448 ","1,718 ",0 ,"34,634 ","29,836 ","3,204 ","1,594 ",0 ,"18,593 ","13,312 ","4,288 ",993 ,0 ,"13,566 ","11,313 ","1,780 ",473 ,0 ,"9,005 ","6,380 ","1,884 ",741 ,0 ,"15,771 ","14,341 ",900 ,530 ,0 ,"4,364 ","3,828 ",359 ,177 ,0 ,"10,459 ","9,313 ",950 ,196 ,0 ,"6,489 ","5,853 ",492 ,144 ,0 ,"5,166 ","4,557 ",474 ,135 ,0 ,"2,108 ","1,811 ",202 ,95 ,0 ,"3,217 ","2,670 ",341 ,206 ,0 ,"4,972 ","4,615 ",296 ,61 ,0 ,3320,3131,143,46,0,"3,005 ","2,506 ",412 ,87 ,0 ,"2,828 ",2581,165,82,0,"1,889 ","1,427 ",290 ,172 ,0 ,9735,7303,1452,980,0,,,,,,
,Aug．,"165,158 ","135,723 ","15,457 ","13,978 ",0 ,"26,213 ","19,895 ","3,237 ","3,081 ",0 ,"30,851 ","26,231 ","1,813 ","2,807 ",0 ,"17,264 ","12,767 ","2,962 ","1,535 ",0 ,"22,804 ","21,176 ",857 ,771 ,0 ,"8,321 ","5,976 ","1,319 ","1,026 ",0 ,"20,009 ","19,029 ",432 ,548 ,0 ,"2,669 ","1,862 ",427 ,380 ,0 ,"6,059 ","5,015 ",642 ,402 ,0 ,"3,529 ","2,905 ",377 ,247 ,0 ,"2,850 ","2,286 ",325 ,239 ,0 ,"1,580 ","1,134 ",281 ,165 ,0 ,"2,945 ","2,472 ",209 ,264 ,0 ,"1,645 ","1,183 ",306 ,156 ,0 ,1156,847,170,139,0,"2,453 ","2,045 ",307 ,101 ,0 ,"3,312 ",3067,143,102,0,"1,696 ","1,207 ",250 ,239 ,0 ,9802,6626,1400,1776,0,,,,,,
,Sep．,"188,424 ","147,459 ","26,474 ","14,491 ",0 ,"49,580 ","41,325 ","5,845 ","2,410 ",0 ,"26,530 ","20,157 ","3,725 ","2,648 ",0 ,"22,768 ","16,328 ","4,537 ","1,903 ",0 ,"13,354 ","10,551 ","1,784 ","1,019 ",0 ,"10,454 ","7,261 ","2,085 ","1,108 ",0 ,"11,472 ","9,942 ",808 ,722 ,0 ,"3,664 ","2,516 ",758 ,390 ,0 ,"6,862 ","5,269 ","1,179 ",414 ,0 ,"4,778 ","3,962 ",604 ,212 ,0 ,"3,488 ","2,721 ",498 ,269 ,0 ,"1,931 ","1,273 ",448 ,210 ,0 ,"3,538 ","2,839 ",400 ,299 ,0 ,"2,298 ","1,652 ",479 ,167 ,0 ,1828,1392,274,162,0,"2,640 ","2,012 ",423 ,205 ,0 ,"2,712 ",2395,212,105,0,"9,151 ","8,425 ",544 ,182 ,0 ,11376,7439,1871,2066,0,,,,,,
,Oct．,"248,153 ","204,837 ","31,354 ","11,962 ",0 ,"68,401 ","59,330 ","6,788 ","2,283 ",0 ,"39,457 ","33,306 ","4,367 ","1,784 ",0 ,"26,276 ","19,780 ","5,264 ","1,232 ",0 ,"14,731 ","11,088 ","2,477 ","1,166 ",0 ,"14,348 ","11,262 ","2,299 ",787 ,0 ,"13,739 ","11,720 ","1,069 ",950 ,0 ,"5,909 ","4,841 ",846 ,222 ,0 ,"9,113 ","7,422 ","1,446 ",245 ,0 ,"6,514 ","5,636 ",687 ,191 ,0 ,"4,424 ","3,512 ",755 ,157 ,0 ,"3,309 ","2,722 ",481 ,106 ,0 ,"4,017 ","3,099 ",488 ,430 ,0 ,"3,917 ","3,285 ",548 ,84 ,0 ,1959,1593,303,63,0,"2,827 ","2,124 ",555 ,148 ,0 ,"3,389 ",3027,296,66,0,"12,024 ","11,397 ",499 ,128 ,0 ,13799,9693,2186,1920,0,,,,,,
,Nov．,"165,715 ","123,876 ","32,835 ","9,004 ",0 ,"37,709 ","30,045 ","5,894 ","1,770 ",0 ,"24,290 ","18,391 ","4,510 ","1,389 ",0 ,"19,525 ","12,361 ","6,078 ","1,086 ",0 ,"12,350 ","9,282 ","2,557 ",511 ,0 ,"13,142 ","9,282 ","3,012 ",848 ,0 ,"10,535 ","9,128 ","1,027 ",380 ,0 ,"4,843 ","3,661 ",979 ,203 ,0 ,"6,080 ","4,355 ","1,399 ",326 ,0 ,"3,756 ","2,869 ",756 ,131 ,0 ,"3,138 ","2,281 ",733 ,124 ,0 ,"2,336 ","1,710 ",538 ,88 ,0 ,"3,729 ","3,063 ",508 ,158 ,0 ,"3,080 ","2,146 ",673 ,261 ,0 ,1898,1412,386,100,0,"2,288 ","1,406 ",663 ,219 ,0 ,"2,693 ",2374,259,60,0,"2,039 ","1,477 ",432 ,130 ,0 ,12284,8633,2431,1220,0,,,,,,
,Dec．,"123,708 ","99,419 ","16,494 ","7,795 ",0 ,"27,750 ","22,695 ","3,397 ","1,658 ",0 ,"20,261 ","16,403 ","2,473 ","1,385 ",0 ,"13,639 ","9,799 ","2,954 ",886 ,0 ,"11,196 ","9,662 ","1,163 ",371 ,0 ,"8,833 ","7,032 ","1,259 ",542 ,0 ,"7,295 ","6,509 ",495 ,291 ,0 ,"3,995 ","3,343 ",483 ,169 ,0 ,"4,467 ","3,491 ",762 ,214 ,0 ,"3,073 ","2,623 ",349 ,101 ,0 ,"2,049 ","1,503 ",415 ,131 ,0 ,"2,596 ","2,177 ",311 ,108 ,0 ,"1,657 ","1,225 ",247 ,185 ,0 ,"1,863 ","1,473 ",310 ,80 ,0 ,1419,1220,153,46,0,"1,596 ","1,155 ",306 ,135 ,0 ,"2,887 ",2724,102,61,0,"1,652 ","1,277 ",225 ,150 ,0 ,7480,5108,1090,1282,0,,,,,,
,2020　Jan．,"102,261 ","68,549 ","18,218 ","15,494 ",0 ,"24,320 ","17,442 ","3,594 ","3,284 ",0 ,"16,481 ","10,615 ","2,746 ","3,120 ",0 ,"11,189 ","6,226 ","3,296 ","1,667 ",0 ,"6,921 ","4,408 ","1,465 ","1,048 ",0 ,"8,399 ","6,167 ","1,165 ","1,067 ",0 ,"5,157 ","3,609 ",632 ,916 ,0 ,"3,499 ","2,564 ",511 ,424 ,0 ,"3,510 ","2,256 ",873 ,381 ,0 ,"2,489 ","1,863 ",402 ,224 ,0 ,"1,601 ",966 ,407 ,228 ,0 ,"1,918 ","1,475 ",284 ,159 ,0 ,"1,889 ","1,208 ",359 ,322 ,0 ,"1,789 ","1,213 ",407 ,169 ,0 ,1526,1191,211,124,0,"1,473 ",868 ,357 ,248 ,0 ,"1,932 ",1668,135,129,0,"1,656 ","1,043 ",298 ,315 ,0 ,6512,3767,1076,1669,0,,,,,,
,Feb．,"88,104 ","67,098 ","15,124 ","5,882 ",,"18,645 ","14,749 ","2,805 ","1,091 ",,"17,123 ","13,800 ","2,095 ","1,228 ",,"10,937 ","7,288 ","2,937 ",712 ,,"4,718 ","3,333 ","1,065 ",320 ,,"6,702 ","5,098 ","1,189 ",415 ,,"4,329 ","3,514 ",519 ,296 ,,"2,880 ","2,266 ",427 ,187 ,,"3,206 ","2,304 ",741 ,161 ,,"2,322 ","1,872 ",344 ,106 ,,"1,603 ","1,169 ",340 ,94 ,,"1,979 ","1,652 ",259 ,68 ,,"1,332 ","1,003 ",226 ,103 ,,"2,046 ","1,668 ",321 ,57 ,,"1,564","1,335",172,57,,"1,492 ","1,066 ",323 ,103 ,,899 ,767,95,37,,"1,115 ",829 ,192 ,94 ,,"5,212","3,385","1,074",753,,,,,,,
,Mar．,"39,883 ","32,232 ","3,200 ","4,451 ",,"6,778 ","5,348 ",650 ,780 ,0 ,"7,665 ","6,175 ",423 ,"1,067 ",0 ,"6,472 ","5,387 ",490 ,595 ,0 ,"1,488 ","1,204 ",123 ,161 ,0 ,"5,639 ","4,593 ",607 ,439 ,0 ,"1,765 ","1,404 ",91 ,270 ,0 ,973 ,831 ,65 ,77 ,,"1,462 ","1,232 ",120 ,110 ,,992 ,852 ,73 ,67 ,,688 ,572 ,42 ,74 ,,789 ,658 ,67 ,64 ,,570 ,465 ,39 ,66 ,,803 ,691 ,60 ,52 ,,451,378,23,50,,449 ,351 ,45 ,53 ,,300 ,244,23,33,,393 ,311 ,25 ,57 ,,"2,206","1,536",234,436,,,,,,,
,Apr．,109 ,67 ,5 ,37 ,,29 ,21 ,0 ,8 ,,12 ,8 ,1 ,3 ,,9 ,5 ,1 ,3 ,,5 ,5 ,0 ,0 ,,17 ,12 ,2 ,3 ,,4 ,1 ,1 ,2 ,,0 ,0 ,0 ,0 ,,2 ,1 ,0 ,1 ,,5 ,4 ,0 ,1 ,,1 ,0 ,0 ,1 ,,0 ,0 ,0 ,0 ,,7 ,0 ,0 ,7 ,,0 ,0 ,0 ,0 ,,1,1,0,0,,0 ,0 ,0 ,0 ,,0 ,0,0,0,,1 ,1 ,0 ,0 ,,16,8,0,8,,,,,,,
,May．,51 ,16 ,4 ,31 ,,6 ,4 ,1 ,1 ,,16 ,1 ,0 ,15 ,,4 ,2 ,0 ,2 ,,3 ,2 ,1 ,0 ,,6 ,0 ,0 ,6 ,,2 ,1 ,1 ,0 ,,0 ,0 ,0 ,0 ,,1 ,1 ,0 ,0 ,,1 ,1 ,0 ,0 ,,0 ,0 ,0 ,0 ,,0 ,0 ,0 ,0 ,,3 ,0 ,1 ,2 ,,1 ,1 ,0 ,0 ,,0,0,0,0,,2 ,1 ,0 ,1 ,,0 ,0,0,0,,0 ,0 ,0 ,0 ,,6,2,0,4,,,,,,,
,Jun．,124 ,33 ,7 ,84 ,,30 ,8 ,2 ,20 ,,16 ,2 ,1 ,13 ,,14 ,4 ,1 ,9 ,,8 ,5 ,0 ,3 ,,0 ,0 ,0 ,0 ,,10 ,2 ,0 ,8 ,,4 ,2 ,0 ,2 ,,6 ,3 ,1 ,2 ,,4 ,1 ,1 ,2 ,,5 ,3 ,0 ,2 ,,1 ,0 ,0 ,1 ,,1 ,0 ,0 ,1 ,,2 ,0 ,0 ,2 ,,0,0,0,0,,2 ,0 ,1 ,1 ,,0 ,0,0,0,,1 ,1 ,0 ,0 ,,20,2,0,18,,,,,,,
,Jul．,351 ,121 ,18 ,212 ,,55 ,20 ,2 ,33 ,,76 ,33 ,3 ,40 ,,47 ,17 ,4 ,26 ,,12 ,7 ,1 ,4 ,,10 ,2 ,1 ,7 ,,28 ,3 ,0 ,25 ,,9 ,7 ,1 ,1 ,,18 ,6 ,1 ,11 ,,10 ,8 ,0 ,2 ,,4 ,0 ,2 ,2 ,,8 ,0 ,0 ,8 ,,3 ,2 ,0 ,1 ,,6 ,0 ,0 ,6 ,,8,2,0,6,,8 ,3 ,1 ,4 ,,3 ,0,1,2,,6 ,3 ,1 ,2 ,,40,8,0,32,,,,,,,
,Aug．,"1,041 ",110 ,68 ,863 ,,150 ,19 ,5 ,126 ,,226 ,29 ,13 ,184 ,,112 ,12 ,14 ,86 ,,51 ,11 ,7 ,33 ,,62 ,1 ,7 ,54 ,,46 ,1 ,8 ,37 ,,44 ,5 ,2 ,37 ,,29 ,5 ,0 ,24 ,,22 ,5 ,2 ,15 ,,38 ,5 ,2 ,31 ,,20 ,3 ,1 ,16 ,,24 ,1 ,1 ,22 ,,19 ,1 ,5 ,13 ,,16,0,0,16,,3 ,0 ,0 ,3 ,,7 ,2,0,5,,22 ,1 ,0 ,21 ,,150,9,1,140,,,,,,,
,Sep．,869 ,92 ,107 ,670 ,,101 ,24 ,12 ,65 ,,116 ,12 ,10 ,94 ,,93 ,12 ,23 ,58 ,,68 ,9 ,11 ,48 ,,61 ,5 ,4 ,52 ,,65 ,6 ,15 ,44 ,,25 ,1 ,5 ,19 ,,35 ,2 ,11 ,22 ,,15 ,6 ,0 ,9 ,,9 ,0 ,0 ,9 ,,22 ,1 ,2 ,19 ,,17 ,1 ,0 ,16 ,,17 ,0 ,5 ,12 ,,11,0,1,10,,18 ,1 ,3 ,14 ,,6 ,1,0,5,,12 ,1 ,1 ,10 ,,178,10,4,164,,,,,,,
,Oct．,"2,379 ",169 ,493 ,"1,717 ",,253 ,31 ,51 ,171 ,,449 ,33 ,81 ,335 ,,269 ,29 ,83 ,157 ,,133 ,11 ,23 ,99 ,,304 ,7 ,98 ,199 ,,100 ,3 ,22 ,75 ,,53 ,8 ,6 ,39 ,,66 ,3 ,27 ,36 ,,65 ,9 ,10 ,46 ,,41 ,3 ,6 ,32 ,,55 ,2 ,17 ,36 ,,51 ,1 ,6 ,44 ,,28 ,3 ,8 ,17 ,,11,1,2,8,,32 ,2 ,11 ,19 ,,14 ,2,1,11,,15 ,2 ,4 ,9 ,,440,19,37,384,,,,,,,
,Nov．,"3,097 ",205 ,956 ,"1,936 ",,304 ,28 ,77 ,199 ,,473 ,41 ,76 ,356 ,,343 ,32 ,130 ,181 ,,131 ,15 ,24 ,92 ,,671 ,30 ,423 ,218 ,,101 ,5 ,27 ,69 ,,59 ,5 ,11 ,43 ,,73 ,8 ,30 ,35 ,,44 ,7 ,13 ,24 ,,38 ,6 ,9 ,23 ,,38 ,1 ,9 ,28 ,,44 ,5 ,5 ,34 ,,39 ,2 ,14 ,23 ,,10,1,1,8,,103 ,2 ,13 ,88 ,,7 ,0,2,5,,30 ,3 ,8 ,19 ,,589,14,84,491,,,,,,,
,Dec．,"2,628 ",424 ,536 ,"1,668 ",,353 ,84 ,49 ,220 ,,449 ,75 ,46 ,328 ,,296 ,82 ,55 ,159 ,,153 ,31 ,15 ,107 ,,389 ,18 ,198 ,173 ,,134 ,14 ,21 ,99 ,,76 ,9 ,9 ,58 ,,73 ,16 ,15 ,42 ,,67 ,26 ,10 ,31 ,,46 ,15 ,5 ,26 ,,29 ,8 ,8 ,13 ,,55 ,7 ,9 ,39 ,,30 ,3 ,7 ,20 ,,22,4,2,16,,23 ,2 ,4 ,17 ,,11 ,3,3,5,,19 ,3 ,3 ,13 ,,403,24,77,302,,,,,,,
,2021　Jan．,"2,539 ",96 ,533 ,"1,910 ",,256 ,12 ,42 ,202 ,,554 ,20 ,109 ,425 ,,351 ,12 ,107 ,232 ,,153 ,4 ,27 ,122 ,,204 ,5 ,78 ,121 ,,174 ,1 ,34 ,139 ,,73 ,5 ,16 ,52 ,,63 ,7 ,20 ,36 ,,47 ,8 ,8 ,31 ,,49 ,3 ,13 ,33 ,,49 ,2 ,3 ,44 ,,47 ,1 ,3 ,43 ,,35 ,1 ,11 ,23 ,,29,0,3,26,,54 ,4 ,11 ,39 ,,32 ,0,6,26,,25 ,2 ,3 ,20 ,,344,9,39,296,,,,,,,
,Feb．,554 ,41 ,65 ,448 ,,73 ,8 ,5 ,60 ,,79 ,6 ,9 ,64 ,,52 ,6 ,12 ,34 ,,34 ,6 ,7 ,21 ,,90 ,7 ,9 ,74 ,,38 ,0 ,5 ,33 ,,9 ,0 ,2 ,7 ,,19 ,1 ,6 ,12 ,,7 ,1 ,1 ,5 ,,13 ,1 ,4 ,8 ,,4 ,0 ,0 ,4 ,,7 ,0 ,0 ,7 ,,5 ,0 ,0 ,5 ,,11,0,0,11,,24 ,0 ,1 ,23 ,,3 ,0,0,3,,3 ,0 ,0 ,3 ,,83,5,4,74,,,,,,,
,Mar．,937 ,62 ,111 ,764 ,,157 ,8 ,14 ,135 ,,87 ,9 ,6 ,72 ,,79 ,4 ,18 ,57 ,,50 ,3 ,11 ,36 ,,92 ,8 ,12 ,72 ,,83 ,5 ,7 ,71 ,,6 ,2 ,0 ,4 ,,24 ,3 ,3 ,18 ,,17 ,5 ,2 ,10 ,,16 ,3 ,3 ,10 ,,8 ,0 ,0 ,8 ,,16 ,1 ,1 ,14 ,,17 ,0 ,13 ,4 ,,5,0,2,3,,33 ,1 ,7 ,25 ,,7 ,0,5,2,,10 ,1 ,1 ,8 ,,230,9,6,215,,,,,,,
,Apr．,"1,199 ",175 ,337 ,687 ,,185 ,7 ,40 ,138 ,,123 ,34 ,25 ,64 ,,139 ,18 ,68 ,53 ,,91 ,28 ,20 ,43 ,,132 ,13 ,40 ,79 ,,79 ,10 ,20 ,49 ,,20 ,5 ,5 ,10 ,,33 ,5 ,13 ,15 ,,44 ,14 ,16 ,14 ,,13 ,6 ,1 ,6 ,,10 ,1 ,0 ,9 ,,29 ,3 ,8 ,18 ,,11 ,2 ,5 ,4 ,,3,0,2,1,,22 ,1 ,9 ,12 ,,7 ,1,2,4,,11 ,0 ,7 ,4 ,,247,27,56,164,,,,,,,
,May．,"1,576 ",295 ,417 ,864 ,,193 ,40 ,57 ,96 ,,209 ,22 ,78 ,109 ,,217 ,44 ,69 ,104 ,,94 ,11 ,34 ,49 ,,160 ,24 ,19 ,117 ,,158 ,54 ,23 ,81 ,,18 ,8 ,4 ,6 ,,44 ,7 ,21 ,16 ,,41 ,11 ,18 ,12 ,,23 ,3 ,7 ,13 ,,14 ,0 ,4 ,10 ,,19 ,3 ,2 ,14 ,,17 ,4 ,7 ,6 ,,11,2,7,2,,26 ,2 ,10 ,14 ,,21 ,3,8,10,,24 ,9 ,3 ,12 ,,287,48,46,193,,,,,,,
,Jun．,"1,804 ",611 ,325 ,868 ,,338 ,169 ,59 ,110 ,,195 ,57 ,28 ,110 ,,183 ,40 ,42 ,101 ,,101 ,31 ,25 ,45 ,,145 ,26 ,14 ,105 ,,108 ,44 ,9 ,55 ,,16 ,5 ,1 ,10 ,,44 ,20 ,7 ,17 ,,33 ,20 ,5 ,8 ,,21 ,11 ,4 ,6 ,,31 ,25 ,1 ,5 ,,25 ,4 ,2 ,19 ,,23 ,14 ,2 ,7 ,,9,2,2,5,,32 ,13 ,1 ,18 ,,37 ,13,19,5,,14 ,6 ,1 ,7 ,,449,111,103,235,,,,,,,
,Jul．,"23,703 ","22,044 ",271 ,"1,388 ",,"3,420 ","3,169 ",50 ,201 ,,"2,515 ","2,207 ",36 ,272 ,,"2,175 ","2,008 ",36 ,131 ,,"1,728 ","1,640 ",25 ,63 ,,"1,197 ","1,041 ",9 ,147 ,,"1,433 ","1,341 ",10 ,82 ,,570 ,530 ,7 ,33 ,,"1,044 ","1,017 ",2 ,25 ,,791 ,733 ,9 ,49 ,,610 ,558 ,27 ,25 ,,381 ,354 ,1 ,26 ,,739 ,700 ,3 ,36 ,,404 ,379 ,6 ,19 ,,318,302,0,16,,353 ,325 ,7 ,21 ,,410 ,398,4,8,,419 ,399 ,2 ,18 ,,5196,4943,37,216,,,,,,,
,Aug．,"10,093 ","6,556 ",462 ,"3,075 ",,"1,307 ",903 ,51 ,353 ,,"1,802 ",682 ,148 ,972 ,,960 ,605 ,86 ,269 ,,597 ,388 ,36 ,173 ,,778 ,550 ,16 ,212 ,,575 ,407 ,17 ,151 ,,206 ,126 ,12 ,68 ,,333 ,259 ,9 ,65 ,,203 ,133 ,6 ,64 ,,222 ,150 ,7 ,65 ,,118 ,79 ,6 ,33 ,,283 ,224 ,5 ,54 ,,176 ,111 ,17 ,48 ,,82,67,3,12,,126 ,91 ,14 ,21 ,,133 ,115,5,13,,142 ,104 ,1 ,37 ,,2050,1562,23,465,,,,,,,
,Sep．,"2,794 ",317 ,371 ,"2,106 ",,277 ,41 ,54 ,182 ,,484 ,56 ,51 ,377 ,,319 ,53 ,87 ,179 ,,220 ,23 ,42 ,155 ,,231 ,12 ,17 ,202 ,,126 ,9 ,14 ,103 ,,62 ,5 ,7 ,50 ,,64 ,15 ,13 ,36 ,,61 ,21 ,7 ,33 ,,42 ,10 ,2 ,30 ,,24 ,4 ,2 ,18 ,,56 ,10 ,6 ,40 ,,26 ,4 ,9 ,13 ,,34,5,1,28,,46 ,4 ,9 ,33 ,,23 ,4,4,15,,38 ,6 ,1 ,31 ,,661,35,45,581,,,,,,,
,Oct．,"3,405 ",816 ,889 ,"1,700 ",,360 ,89 ,82 ,189 ,,423 ,107 ,74 ,242 ,,352 ,93 ,110 ,149 ,,228 ,50 ,63 ,115 ,,346 ,84 ,47 ,215 ,,130 ,26 ,27 ,77 ,,62 ,17 ,20 ,25 ,,91 ,34 ,28 ,29 ,,88 ,30 ,30 ,28 ,,56 ,15 ,14 ,27 ,,65 ,13 ,27 ,25 ,,61 ,15 ,8 ,38 ,,31 ,6 ,6 ,19 ,,34,4,18,12,,73 ,16 ,32 ,25 ,,32 ,16,9,7,,26 ,4 ,9 ,13 ,,947,197,285,465,,,,,,,
,Nov．,"2,590 ",405 ,384 ,"1,801 ",,546 ,76 ,66 ,404 ,,349 ,62 ,77 ,210 ,,273 ,55 ,68 ,150 ,,158 ,24 ,39 ,95 ,,265 ,38 ,31 ,196 ,,87 ,18 ,13 ,56 ,,44 ,14 ,6 ,24 ,,65 ,22 ,12 ,31 ,,38 ,18 ,6 ,14 ,,35 ,10 ,8 ,17 ,,23 ,6 ,4 ,13 ,,56 ,7 ,4 ,45 ,,35 ,2 ,9 ,24 ,,16,6,7,3,,90 ,7 ,7 ,76 ,,16 ,2,3,11,,80 ,6 ,3 ,71 ,,414,32,21,361,,,,,,,
,Dec．,"1,044 ",159 ,87 ,798 ,,182 ,16 ,12 ,154 ,,204 ,35 ,24 ,145 ,,97 ,14 ,12 ,71 ,,73 ,20 ,4 ,49 ,,83 ,6 ,10 ,67 ,,62 ,7 ,4 ,51 ,,26 ,7 ,0 ,19 ,,36 ,15 ,2 ,19 ,,17 ,7 ,1 ,9 ,,22 ,5 ,3 ,14 ,,9 ,1 ,0 ,8 ,,12 ,2 ,0 ,10 ,,14 ,6 ,2 ,6 ,,5,2,1,2,,9 ,1 ,2 ,6 ,,7 ,0,0,7,,28 ,1 ,2 ,25 ,,158,14,8,136,,,,,,,
,2022　Jan．,"3,168 ",110 ,312 ,"2,746 ",,485 ,17 ,36 ,432 ,,676 ,19 ,84 ,573 ,,335 ,15 ,63 ,257 ,,252 ,7 ,26 ,219 ,,220 ,11 ,16 ,193 ,,301 ,3 ,21 ,277 ,,65 ,6 ,8 ,51 ,,77 ,7 ,7 ,63 ,,40 ,1 ,8 ,31 ,,47 ,2 ,7 ,38 ,,42 ,1 ,1 ,40 ,,50 ,3 ,2 ,45 ,,45 ,0 ,6 ,39 ,,28,0,1,27,,39 ,0 ,5 ,34 ,,22 ,0,2,20,,72 ,5 ,7 ,60 ,,372,13,12,347,,,,,,,
,Feb．,929 ,200 ,90 ,639 ,,148 ,33 ,11 ,104 ,,140 ,22 ,12 ,106 ,,81 ,23 ,11 ,47 ,,46 ,8 ,6 ,32 ,,112 ,15 ,11 ,86 ,,53 ,11 ,8 ,34 ,,12 ,3 ,1 ,8 ,,18 ,5 ,5 ,8 ,,21 ,8 ,3 ,10 ,,13 ,5 ,1 ,7 ,,11 ,6 ,0 ,5 ,,9 ,2 ,0 ,7 ,,11 ,4 ,0 ,7 ,,10,3,0,7,,9 ,2 ,1 ,6 ,,8 ,2,1,5,,19 ,5 ,0 ,14 ,,208,43,19,146,,,,,,,
,Mar．,"5,758 ","1,065 ",983 ,"3,710 ",,763 ,152 ,124 ,487 ,,835 ,119 ,93 ,623 ,,714 ,129 ,201 ,384 ,,394 ,39 ,94 ,261 ,,558 ,37 ,123 ,398 ,,262 ,13 ,47 ,202 ,,109 ,15 ,12 ,82 ,,195 ,26 ,53 ,116 ,,132 ,36 ,20 ,76 ,,129 ,14 ,30 ,85 ,,70 ,11 ,16 ,43 ,,88 ,13 ,15 ,60 ,,87 ,9 ,31 ,47 ,,80 ,15 ,14 ,51 ,,81 ,15 ,23 ,43 ,,68 ,9 ,4 ,55 ,,62 ,10 ,7 ,45 ,,"1,131 ",403 ,76 ,652 ,,,,,,,
