Visitor Arrivals by Nationality & Purpose of Visit to Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update,,Africa,,,,,North America,,,,,,,,,,,,,,,,,,,,,,,,,South America,,,,,,,,,,,,,,,Oceania,,,,,,,,,,,,,,,,,,,,Stateless,,,,,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Apr-24,,Africa Total,,,,,North America Total,,,,,U.S.A.,,,,,Canada,,,,,Mexico,,,,,North America Unclassified,,,,,South America Total,,,,,Brazil,,,,,South America Unclassified,,,,,Oceania Total,,,,,Australia,,,,,New Zealand,,,,,Oceania Unclassified,,,,,Stateless,,,,,Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,Total,Tourist,Business,Others,Short Excursion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct．,"1,998 ",556 ,620 ,822 ,0 ,"71,691 ","42,428 ","24,962 ","4,301 ",0 ,"58,632 ","32,935 ","22,218 ","3,479 ",0 ,"10,877 ","8,103 ","2,214 ",560 ,0 ,"1,607 ","1,105 ",381 ,121 ,0 ,575 ,285 ,149 ,141 ,0 ,"4,741 ","3,152 ","1,103 ",486 ,0 ,"2,814 ","1,943 ",622 ,249 ,0 ,"1,927 ","1,209 ",481 ,237 ,0 ,"17,313 ","12,597 ","3,612 ","1,104 ",0 ,"14,823 ","11,049 ","3,030 ",744 ,0 ,"2,291 ","1,495 ",529 ,267 ,0 ,199 ,53 ,53 ,93 ,0 ,54 ,27 ,2 ,25 ,0 ,"615,701 ","404,377 ","143,498 ","67,826 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov．,"1,990 ",587 ,591 ,812 ,0 ,"64,940 ","37,834 ","23,013 ","4,093 ",0 ,"53,055 ","29,457 ","20,242 ","3,356 ",0 ,"10,247 ","7,425 ","2,321 ",501 ,0 ,"1,183 ",739 ,343 ,101 ,0 ,455 ,213 ,107 ,135 ,0 ,"3,005 ","1,725 ",920 ,360 ,0 ,"1,486 ",842 ,520 ,124 ,0 ,"1,519 ",883 ,400 ,236 ,0 ,"14,376 ","9,428 ","3,732 ","1,216 ",0 ,"12,056 ","8,078 ","3,099 ",879 ,0 ,"2,065 ","1,283 ",579 ,203 ,0 ,255 ,67 ,54 ,134 ,0 ,44 ,24 ,1 ,19 ,0 ,"551,571 ","358,056 ","140,783 ","52,732 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec．,"2,241 ","1,403 ",481 ,357 ,0 ,"63,459 ","43,833 ","15,589 ","4,037 ",0 ,"51,366 ","33,950 ","14,060 ","3,356 ",0 ,"10,466 ","8,691 ","1,279 ",496 ,0 ,"1,310 ","1,044 ",161 ,105 ,0 ,317 ,148 ,89 ,80 ,0 ,"4,954 ","4,175 ",478 ,301 ,0 ,"3,925 ","3,444 ",324 ,157 ,0 ,"1,029 ",731 ,154 ,144 ,0 ,"21,227 ","18,070 ","2,120 ","1,037 ",0 ,"18,471 ","15,916 ","1,759 ",796 ,0 ,"2,562 ","2,059 ",326 ,177 ,0 ,194 ,95 ,35 ,64 ,0 ,41 ,19 ,2 ,20 ,0 ,"572,101 ","423,650 ","100,286 ","48,165 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012　Jan．,"1,791 ",394 ,461 ,936 ,0 ,"60,590 ","33,079 ","17,639 ","9,872 ",0 ,"48,268 ","24,273 ","15,984 ","8,011 ",0 ,"10,860 ","8,109 ","1,322 ","1,429 ",0 ,973 ,557 ,230 ,186 ,0 ,489 ,140 ,103 ,246 ,0 ,"2,511 ","1,287 ",532 ,692 ,0 ,"1,389 ",702 ,340 ,347 ,0 ,"1,122 ",585 ,192 ,345 ,0 ,"24,873 ","20,758 ","2,083 ","2,032 ",0 ,"22,192 ","18,960 ","1,765 ","1,467 ",0 ,"2,526 ","1,737 ",289 ,500 ,0 ,155 ,61 ,29 ,65 ,0 ,37 ,20 ,6 ,11 ,0 ,"681,786 ","486,156 ","98,143 ","97,487 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb．,"1,527 ",366 ,513 ,648 ,0 ,"53,632 ","28,222 ","21,959 ","3,451 ",0 ,"43,637 ","21,117 ","19,658 ","2,862 ",0 ,"8,797 ","6,445 ","1,890 ",462 ,0 ,890 ,535 ,306 ,49 ,0 ,308 ,125 ,105 ,78 ,0 ,"2,006 ","1,049 ",572 ,385 ,0 ,"1,015 ",521 ,326 ,168 ,0 ,991 ,528 ,246 ,217 ,0 ,"20,051 ","16,081 ","3,167 ",803 ,0 ,"17,890 ","14,712 ","2,600 ",578 ,0 ,"2,010 ","1,309 ",520 ,181 ,0 ,151 ,60 ,47 ,44 ,0 ,14 ,6 ,0,8 ,0 ,"546,451 ","364,800 ","123,709 ","57,942 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar．,"1,991 ",673 ,608 ,710 ,0 ,"81,696 ","53,346 ","21,751 ","6,599 ",0 ,"66,010 ","41,311 ","19,259 ","5,440 ",0 ,"13,596 ","10,744 ","1,983 ",869 ,0 ,"1,609 ","1,059 ",385 ,165 ,0 ,481 ,232 ,124 ,125 ,0 ,"3,696 ","2,276 ",847 ,573 ,0 ,"1,924 ","1,222 ",407 ,295 ,0 ,"1,772 ","1,054 ",440 ,278 ,0 ,"21,613 ","16,677 ","3,526 ","1,410 ",0 ,"18,911 ","14,983 ","2,896 ","1,032 ",0 ,"2,451 ","1,602 ",563 ,286 ,0 ,251 ,92 ,67 ,92 ,0 ,35 ,13 ,2,20 ,0 ,"676,662 ","452,710 ","130,166 ","93,786 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr．,"1,734 ",745 ,499 ,490 ,0 ,"80,019 ","54,917 ","20,259 ","4,843 ",0 ,"64,208 ","42,116 ","18,119 ","3,973 ",0 ,"13,517 ","11,123 ","1,769 ",625 ,0 ,"1,815 ","1,438 ",253 ,124 ,0 ,479 ,240 ,118 ,121 ,0 ,"4,474 ","3,412 ",586 ,476 ,0 ,"2,633 ","2,050 ",349 ,234 ,0 ,"1,841 ","1,362 ",237 ,242 ,0 ,"20,656 ","16,619 ","2,837 ","1,200 ",0 ,"17,465 ","14,304 ","2,310 ",851 ,0 ,"2,964 ","2,197 ",474 ,293 ,0 ,227 ,118 ,53 ,56 ,0 ,38 ,20 ,1,17 ,0 ,"779,481 ","582,655 ","124,113 ","72,713 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May．,"1,737 ",565 ,564 ,608 ,0 ,"78,914 ","52,306 ","21,251 ","5,357 ",0 ,"65,195 ","41,893 ","18,882 ","4,420 ",0 ,"11,871 ","9,137 ","1,988 ",746 ,0 ,"1,445 ","1,063 ",286 ,96 ,0 ,403 ,213 ,95 ,95 ,0 ,"3,416 ","2,191 ",782 ,443 ,0 ,"1,661 ","1,026 ",419 ,216 ,0 ,"1,755 ","1,165 ",363 ,227 ,0 ,"15,734 ","10,945 ","3,509 ","1,280 ",0 ,"13,137 ","9,414 ","2,856 ",867 ,0 ,"2,232 ","1,401 ",568 ,263 ,0 ,365 ,130 ,85 ,150 ,0 ,35 ,12 ,1,22 ,0 ,"667,046 ","473,792 ","128,430 ","64,824 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun．,"2,041 ",836 ,626 ,579 ,0 ,"85,511 ","61,517 ","20,284 ","3,710 ",0 ,"74,049 ","52,678 ","18,338 ","3,033 ",0 ,"9,522 ","7,476 ","1,580 ",466 ,0 ,"1,504 ","1,138 ",247 ,119 ,0 ,436 ,225 ,119 ,92 ,0 ,"3,450 ","2,327 ",786 ,337 ,0 ,"1,948 ","1,321 ",476 ,151 ,0 ,"1,502 ","1,006 ",310 ,186 ,0 ,"18,762 ","14,919 ","2,940 ",903 ,0 ,"15,714 ","12,651 ","2,424 ",639 ,0 ,"2,715 ","2,052 ",482 ,181 ,0 ,333 ,216 ,34 ,83 ,0 ,42 ,15 ,1,26 ,0 ,"682,932 ","511,443 ","120,258 ","51,231 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul．,"1,873 ",677 ,507 ,689 ,0 ,"79,339 ","55,885 ","18,079 ","5,375 ",0 ,"65,750 ","45,018 ","16,158 ","4,574 ",0 ,"11,153 ","8,986 ","1,571 ",596 ,0 ,"1,933 ","1,630 ",216 ,87 ,0 ,503 ,251 ,134 ,118 ,0 ,"3,956 ","2,973 ",551 ,432 ,0 ,"2,432 ","1,902 ",317 ,213 ,0 ,"1,524 ","1,071 ",234 ,219 ,0 ,"17,278 ","13,090 ","2,898 ","1,290 ",0 ,"14,033 ","10,695 ","2,423 ",915 ,0 ,"2,956 ","2,244 ",426 ,286 ,0 ,289 ,151 ,49 ,89 ,0 ,50 ,19 ,3,28 ,0 ,"847,194 ","666,603 ","120,411 ","60,180 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug．,"1,959 ",705 ,364 ,890 ,0 ,"65,454 ","40,800 ","14,409 ","10,245 ",0 ,"53,180 ","31,747 ","13,051 ","8,382 ",0 ,"10,434 ","7,817 ","1,122 ","1,495 ",0 ,"1,347 ","1,040 ",165 ,142 ,0 ,493 ,196 ,71 ,226 ,0 ,"2,711 ","1,708 ",464 ,539 ,0 ,"1,418 ",903 ,258 ,257 ,0 ,"1,293 ",805 ,206 ,282 ,0 ,"13,602 ","9,161 ","2,414 ","2,027 ",0 ,"10,864 ","7,455 ","2,017 ","1,392 ",0 ,"2,529 ","1,629 ",369 ,531 ,0 ,209 ,77 ,28 ,104 ,0 ,32 ,18 ,4,10 ,0 ,"774,239 ","592,809 ","91,020 ","90,410 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep．,"2,469 ",801 ,658 ,"1,010 ",0 ,"65,846 ","37,787 ","21,698 ","6,361 ",0 ,"53,692 ","29,202 ","19,284 ","5,206 ",0 ,"9,859 ","7,135 ","1,901 ",823 ,0 ,"1,724 ","1,236 ",326 ,162 ,0 ,571 ,214 ,187 ,170 ,0 ,"3,530 ","2,250 ",746 ,534 ,0 ,"1,850 ","1,188 ",419 ,243 ,0 ,"1,680 ","1,062 ",327 ,291 ,0 ,"22,477 ","17,545 ","3,616 ","1,316 ",0 ,"18,920 ","15,027 ","2,936 ",957 ,0 ,"3,214 ","2,390 ",596 ,228 ,0 ,343 ,128 ,84 ,131 ,0 ,45 ,26 ,0,19 ,0 ,"658,239 ","430,025 ","126,883 ","101,331 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct．,"3,805 ","1,113 ",931 ,"1,761 ",0 ,"82,024 ","51,295 ","26,161 ","4,568 ",0 ,"66,556 ","39,930 ","23,080 ","3,546 ",0 ,"12,517 ","9,553 ","2,394 ",570 ,0 ,"2,146 ","1,495 ",476 ,175 ,0 ,805 ,317 ,211 ,277 ,0 ,"5,253 ","3,455 ","1,182 ",616 ,0 ,"2,845 ","1,960 ",639 ,246 ,0 ,"2,408 ","1,495 ",543 ,370 ,0 ,"21,221 ","16,142 ","3,862 ","1,217 ",0 ,"17,890 ","13,852 ","3,183 ",855 ,0 ,"2,933 ","2,131 ",613 ,189 ,0 ,398 ,159 ,66 ,173 ,0 ,86 ,14 ,4,68 ,0 ,"705,848 ","480,255 ","145,637 ","79,956 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov．,"2,095 ",577 ,625 ,893 ,0 ,"71,720 ","44,975 ","22,405 ","4,340 ",0 ,"58,238 ","35,065 ","19,584 ","3,589 ",0 ,"11,454 ","8,559 ","2,355 ",540 ,0 ,"1,513 ","1,046 ",365 ,102 ,0 ,515 ,305 ,101 ,109 ,0 ,"3,774 ","2,397 ",962 ,415 ,0 ,"1,961 ","1,264 ",507 ,190 ,0 ,"1,813 ","1,133 ",455 ,225 ,0 ,"16,456 ","11,470 ","3,760 ","1,226 ",0 ,"13,968 ","10,005 ","3,072 ",891 ,0 ,"2,197 ","1,350 ",585 ,262 ,0 ,291 ,115 ,103 ,73 ,0 ,32 ,19 ,1,12 ,0 ,"648,548 ","455,666 ","137,739 ","55,143 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec．,"1,703 ",720 ,364 ,619 ,0 ,"71,656 ","51,769 ","15,686 ","4,201 ",0 ,"57,926 ","40,272 ","14,200 ","3,454 ",0 ,"11,775 ","9,945 ","1,247 ",583 ,0 ,"1,603 ","1,334 ",172 ,97 ,0 ,352 ,218 ,67 ,67 ,0 ,"12,374 ","11,465 ",540 ,369 ,0 ,"11,035 ","10,501 ",341 ,193 ,0 ,"1,339 ",964 ,199 ,176 ,0 ,"28,790 ","25,457 ","2,153 ","1,180 ",0 ,"25,420 ","22,729 ","1,782 ",909 ,0 ,"3,126 ","2,593 ",325 ,208 ,0 ,244 ,135 ,46 ,63 ,0 ,52 ,34 ,2,16 ,0 ,"689,679 ","544,731 ",96437,"48,511 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013　Jan．,"1,739 ",367 ,429 ,943 ,0 ,"63,146 ","34,094 ","18,330 ","10,722 ",0 ,"51,261 ","26,141 ","16,477 ","8,643 ",0 ,"10,045 ","7,079 ","1,467 ","1,499 ",0 ,"1,234 ",681 ,258 ,295 ,0 ,606 ,193 ,128 ,285 ,0 ,"2,830 ","1,604 ",506 ,720 ,0 ,"1,418 ",790 ,312 ,316 ,0 ,"1,412 ",814 ,194 ,404 ,0 ,"34,856 ","30,421 ","2,350 ","2,085 ",0 ,"31,669 ","28,244 ","1,923 ","1,502 ",0 ,"3,009 ","2,127 ",383 ,499 ,0 ,178 ,50 ,44 ,84 ,0 ,31 ,11 ,3,17 ,0 ,"668,610 ","456,009 ","110,762 ","101,839 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb．,"1,519 ",461 ,496 ,562 ,0 ,"57,418 ","35,803 ","18,178 ","3,437 ",0 ,"45,488 ","26,390 ","16,308 ","2,790 ",0 ,"10,599 ","8,616 ","1,510 ",473 ,0 ,909 ,597 ,240 ,72 ,0 ,422 ,200 ,120 ,102 ,0 ,"2,444 ","1,612 ",491 ,341 ,0 ,"1,275 ",843 ,259 ,173 ,0 ,"1,169 ",769 ,232 ,168 ,0 ,"23,885 ","20,217 ","2,808 ",860 ,0 ,"21,271 ","18,326 ","2,310 ",635 ,0 ,"2,459 ","1,821 ",458 ,180 ,0 ,155 ,70 ,40 ,45 ,0 ,49 ,27 ,2,20 ,0 ,"729,460 ","559,949 ","104,275 ","65,236 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar．,"2,003 ",739 ,552 ,712 ,0 ,"93,467 ","65,268 ","21,341 ","6,858 ",0 ,"75,506 ","50,763 ","19,050 ","5,693 ",0 ,"15,132 ","12,486 ","1,799 ",847 ,0 ,"2,276 ","1,752 ",352 ,172 ,0 ,553 ,267 ,140 ,146 ,0 ,"4,533 ","3,212 ",774 ,547 ,0 ,"2,497 ","1,746 ",452 ,299 ,0 ,"2,036 ","1,466 ",322 ,248 ,0 ,"25,648 ","20,888 ","3,138 ","1,622 ",0 ,"22,557 ","18,871 ","2,539 ","1,147 ",0 ,"2,764 ","1,865 ",541 ,358 ,0 ,327 ,152 ,58 ,117 ,0 ,30 ,14 ,3,13 ,0 ,"857,024 ","624,502 ","126,504 ","106,018 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr．,"1,927 ",745 ,563 ,619 ,0 ,"86,277 ","60,768 ","21,006 ","4,503 ",0 ,"69,565 ","47,159 ","18,711 ","3,695 ",0 ,"13,966 ","11,526 ","1,837 ",603 ,0 ,"2,144 ","1,714 ",337 ,93 ,0 ,602 ,369 ,121 ,112 ,0 ,"5,322 ","4,193 ",669 ,460 ,0 ,"3,022 ","2,427 ",378 ,217 ,0 ,"2,300 ","1,766 ",291 ,243 ,0 ,"26,569 ","22,228 ","3,224 ","1,117 ",0 ,"22,747 ","19,331 ","2,631 ",785 ,0 ,"3,620 ","2,818 ",534 ,268 ,0 ,202 ,79 ,59 ,64 ,0 ,41 ,22 ,1,18 ,0 ,"923,017 ","719,277 ","125,646 ","78,094 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May．,"3,984 ",822 ,775 ,"2,387 ",0 ,"90,442 ","64,302 ","20,764 ","5,376 ",0 ,"74,045 ","51,188 ","18,423 ","4,434 ",0 ,"14,058 ","11,458 ","1,834 ",766 ,0 ,"1,854 ","1,399 ",373 ,82 ,0 ,485 ,257 ,134 ,94 ,0 ,"4,694 ","3,380 ",891 ,423 ,0 ,"2,324 ","1,630 ",481 ,213 ,0 ,"2,370 ","1,750 ",410 ,210 ,0 ,"19,087 ","14,391 ","3,531 ","1,165 ",0 ,"16,050 ","12,302 ","2,923 ",825 ,0 ,"2,838 ","2,004 ",561 ,273 ,0 ,199 ,85 ,47 ,67 ,0 ,54 ,20 ,2,32 ,0 ,"875,408 ","676,551 ","128,235 ","70,622 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun．,"2,296 ",844 ,684 ,768 ,0 ,"95,325 ","70,654 ","20,771 ","3,900 ",0 ,"81,290 ","59,636 ","18,425 ","3,229 ",0 ,"11,528 ","9,183 ","1,837 ",508 ,0 ,"2,050 ","1,595 ",368 ,87 ,0 ,457 ,240 ,141 ,76 ,0 ,"3,613 ","2,461 ",733 ,419 ,0 ,"1,963 ","1,346 ",422 ,195 ,0 ,"1,650 ","1,115 ",311 ,224 ,0 ,"21,152 ","17,012 ","3,197 ",943 ,0 ,"17,509 ","14,251 ","2,582 ",676 ,0 ,"3,157 ","2,402 ",566 ,189 ,0 ,486 ,359 ,49 ,78 ,0 ,34 ,25 ,4,5 ,0 ,"901,066 ","720,877 ","126,044 ","54,145 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul．,"2,049 ",801 ,433 ,815 ,0 ,"91,783 ","67,979 ","18,321 ","5,483 ",0 ,"75,350 ","54,346 ","16,345 ","4,659 ",0 ,"13,219 ","11,059 ","1,546 ",614 ,0 ,"2,734 ","2,326 ",328 ,80 ,0 ,480 ,248 ,102 ,130 ,0 ,"4,478 ","3,447 ",618 ,413 ,0 ,"2,738 ","2,178 ",334 ,226 ,0 ,"1,740 ","1,269 ",284 ,187 ,0 ,"20,317 ","15,950 ","3,054 ","1,313 ",0 ,"16,190 ","12,747 ","2,507 ",936 ,0 ,"3,679 ","2,932 ",484 ,263 ,0 ,448 ,271 ,63 ,114 ,0 ,39 ,26 ,1,12 ,0 ,"1,003,032 ","819,985 ","120,915 ","62,132 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug．,"2,046 ",748 ,394 ,904 ,0 ,"71,814 ","46,532 ","14,940 ","10,342 ",0 ,"58,347 ","36,477 ","13,433 ","8,437 ",0 ,"11,424 ","8,729 ","1,214 ","1,481 ",0 ,"1,511 ","1,116 ",208 ,187 ,0 ,532 ,210 ,85 ,237 ,0 ,"3,258 ","2,164 ",467 ,627 ,0 ,"1,678 ","1,072 ",266 ,340 ,0 ,"1,580 ","1,092 ",201 ,287 ,0 ,"13,409 ","9,080 ","2,461 ","1,868 ",0 ,"10,553 ","7,212 ","2,014 ","1,327 ",0 ,"2,619 ","1,791 ",383 ,445 ,0 ,237 ,77 ,64 ,96 ,0 ,30 ,18 ,2,10 ,0 ,"906,379 ","716,059 ","94,015 ","96,305 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep．,"2,644 ",941 ,591 ,"1,112 ",0 ,"75,580 ","46,704 ","22,265 ","6,611 ",0 ,"61,261 ","36,095 ","19,890 ","5,276 ",0 ,"11,326 ","8,590 ","1,848 ",888 ,0 ,"2,276 ","1,721 ",346 ,209 ,0 ,717 ,298 ,181 ,238 ,0 ,"4,616 ","3,224 ",718 ,674 ,0 ,"2,327 ","1,598 ",404 ,325 ,0 ,"2,289 ","1,626 ",314 ,349 ,0 ,"25,589 ","20,672 ","3,627 ","1,290 ",0 ,"21,505 ","17,596 ","2,981 ",928 ,0 ,"3,789 ","2,958 ",592 ,239 ,0 ,295 ,118 ,54 ,123 ,0 ,35 ,15 ,2,18 ,0 ,"866,966 ","627,679 ","128,692 ","110,595 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct．,"2,536 ",872 ,702 ,962 ,0 ,"90,939 ","62,051 ","24,195 ","4,693 ",0 ,"73,731 ","48,426 ","21,527 ","3,778 ",0 ,"14,011 ","11,304 ","2,090 ",617 ,0 ,"2,477 ","1,963 ",395 ,119 ,0 ,720 ,358 ,183 ,179 ,0 ,"6,341 ","4,535 ",975 ,831 ,0 ,"3,310 ","2,519 ",579 ,212 ,0 ,"3,031 ","2,016 ",396 ,619 ,0 ,"21,772 ","16,474 ","4,046 ","1,252 ",0 ,"18,099 ","14,077 ","3,174 ",848 ,0 ,"3,251 ","2,208 ",797 ,246 ,0 ,422 ,189 ,75 ,158 ,0 ,46 ,24 ,1,21 ,0 ,"928,560 ","702,911 ","144,808 ","80,841 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov．,"2,265 ",734 ,697 ,834 ,0 ,"80,786 ","52,490 ","23,709 ","4,587 ",0 ,"65,228 ","40,730 ","20,710 ","3,788 ",0 ,"12,896 ","9,965 ","2,386 ",545 ,0 ,"2,031 ","1,477 ",451 ,103 ,0 ,631 ,318 ,162 ,151 ,0 ,"3,919 ","2,474 ","1,056 ",389 ,0 ,"2,060 ","1,327 ",581 ,152 ,0 ,"1,859 ","1,147 ",475 ,237 ,0 ,"18,694 ","13,291 ","4,059 ","1,344 ",0 ,"16,089 ","11,768 ","3,364 ",957 ,0 ,"2,379 ","1,454 ",652 ,273 ,0 ,226 ,69 ,43 ,114 ,0 ,55 ,17 ,12,26 ,0 ,"839,891 ","628,688 ","151,752 ","59,451 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec．,"1,689 ",773 ,385 ,531 ,0 ,"85,004 ","63,889 ","16,339 ","4,776 ",0 ,"68,208 ","49,417 ","14,777 ","4,014 ",0 ,"14,562 ","12,607 ","1,339 ",616 ,0 ,"1,842 ","1,616 ",156 ,70 ,0 ,392 ,249 ,67 ,76 ,0 ,"3,882 ","3,140 ",382 ,360 ,0 ,"2,493 ","2,089 ",221 ,183 ,0 ,"1,389 ","1,051 ",161 ,177 ,0 ,"33,908 ","30,510 ","2,158 ","1,240 ",0 ,"30,330 ","27,612 ","1,784 ",934 ,0 ,"3,390 ","2,806 ",329 ,255 ,0 ,188 ,92 ,45 ,51 ,0 ,45 ,28 ,1,16 ,0 ,"864,491 ","710,030 ","103,202 ","51,259 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014　Jan．,"1,830 ",487 ,384 ,959 ,0 ,"74,503 ","45,939 ","18,079 ","10,485 ",0 ,"59,767 ","34,865 ","16,259 ","8,643 ",0 ,"12,852 ","9,950 ","1,476 ","1,426 ",0 ,"1,345 ",933 ,226 ,186 ,0 ,539 ,191 ,118 ,230 ,0 ,"3,355 ","2,068 ",485 ,802 ,0 ,"1,887 ","1,174 ",308 ,405 ,0 ,"1,468 ",894 ,177 ,397 ,0 ,"40,928 ","36,702 ","2,272 ","1,954 ",0 ,"37,367 ","34,135 ","1,800 ","1,432 ",0 ,"3,366 ","2,509 ",425 ,432 ,0 ,195 ,58 ,47 ,90 ,0 ,35 ,16 ,2,17 ,0 ,"944,009 ","730,519 ","108,493 ","104,997 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb．,"1,444 ",466 ,463 ,515 ,0 ,"65,201 ","40,914 ","20,325 ","3,962 ",0 ,"52,016 ","30,546 ","18,194 ","3,276 ",0 ,"11,420 ","9,191 ","1,742 ",487 ,0 ,"1,344 ",991 ,280 ,73 ,0 ,421 ,186 ,109 ,126 ,0 ,"2,716 ","1,778 ",541 ,397 ,0 ,"1,315 ",787 ,314 ,214 ,0 ,"1,401 ",991 ,227 ,183 ,0 ,"29,567 ","25,698 ","3,086 ",783 ,0 ,"26,589 ","23,434 ","2,569 ",586 ,0 ,"2,804 ","2,201 ",460 ,143 ,0 ,174 ,63 ,57 ,54 ,0 ,38 ,19 ,0,19 ,0 ,"880,020 ","688,902 ","118,741 ","72,377 ",0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
