Name,Type,Aired,Rating,Votes,Discription,Studio,Genre
Kimi Ni Todoke,TV Series,2009-2011,7.8,5100,"Sawako's one wish in life is to make friends. That's a difficult proposition due to her resemblance to Sadako from The Ring. Her life starts to change after she befriends her classmate, Kaze... Read all","D.N. Dream Partners, Nippon Television Network (NTV), Production I.G.","Coming-of-age, Romance, Comedy, Slice of life"
Toradora!,TV Series,2008-2009,8,18000,Toradora tells the tale of Ryuji (dragon) and Taiga (tiger) helping each other confess to their crushes.,"Genco, J.C. Staff, Starchild Records","Romance, Slice of life, Comedy, Drama"
GTO,TV Series,1999-2000,8.5,11000,"About Eikichi Onizuka, a 22-year-old ex-gangster member and a virgin. He has one ambition that no one ever expected from him. His sole life purpose is to become the greatest high school teac... Read all","Aniplex, Fuji Television Network, Pierrot",
Gantz,TV Series,2004-2004,7.2,8500,A group of people are resurrected from their deaths by a mysterious black ball called GANTZ to combat alien criminals hiding on Earth.,"Fuji Television Network, Gantz Partners, Gonzo Digimation","Action, Psychological horror, Psychological thriller, Science Fiction"
Sôru îtâ,TV Series,2008-2009,7.8,14000,"Set in the Shinigami technical school, the series revolves around a partnership between a weapon meisters and a human weapons. Trying to reach a ranking of ""Death Scythe"" they must collect t... Read all","Bones, Media Factory, Square Enix Company","Action, Dark comedy, Dark fantasy"
Dragon Ball GT: Doragon bôru jîtî,TV Series,1996-1997,6.8,29000,"After Goku is made a kid again by the Black Star Dragon Balls, he goes on a journey to get back to his old self.","Bird Studios, Toei Animation, Toei Company",
Kuroshitsuji,TV Series,2008-2011,7.7,9100,"Ciel Phantomhive takes care of the many unsettling events in Victorian England. Aided by Sebastian Michaelis, his loyal butler with seemingly inhuman abilities. But is there more to this bla... Read all","A-1 Pictures, Aniplex, Mainichi Broadcasting System (MBS)","Horror, Action, Comedy, Drama, Mystery, Thriller, Historical Fiction, Supernatural, Fantasy"
Slam Dunk: Suramu Danku,TV Series,1993-1996,8.8,7100,"About Sakuragi Hanamichi, a freshman of Shohoku High School who joins the basketball team because of the girl he has a crush on, Haruko. Although he is newbie in this sport, he is no ordinar... Read all",Toei Animation,
Clannad,TV Series,2007-2008,7.8,10000,A high school student who cares little about school or others meets a lonely girl who had to repeat a year while all her friends finished high school. He decides to hang out with her and soo... Read all,"Hikarizaka Koko Engekibu, Kyoto Animation, Movic","Comedy, Drama, Romance"
Golden Boy,TV Mini Series,1995-1996,8,7000,"A University drop-out rides Japan on his bicycle, taking part-time jobs and trying not to take women.","A.P.P.P., KSS, Shueisha",
Ôran kôkô hosutobu,TV Series,2006-2006,8.2,11000,"You'll fall for the Ouran Host Club: Tamaki's truly romantic. Kaoru and Hikaru display brotherly love, Kyoya's brainy, Honey's innocent, and Mori's manly. Oh, and don't forget Haruhi. He kno... Read all",Bones,"Drama, Reverse harem, Romantic comedy"
Kamisama Hajimemashita,TV Series,2012-2016,8.1,4900,"Nanami is left homeless after her father runs away due to debts. When she saves a man named Mikage from dogs, he gives her his house which turns out to be a shrine and she becomes the new de... Read all","Dax Production, Dentsu, Hakusensha","Romantic comedy, Supernatural"
Mahô Shôjo Madoka Magika: Puella Magi Madoka Magica,TV Mini Series,2011-2011,8.2,11000,"A creature named Kyubey offers Madoka and Sayaka a wish if they agree to become 'magical girls' and fight abstract beings called 'witches'. However, a magical girl named Homura is, for uncer... Read all","Aniplex, Hakuhodo DY Media Partners, Hobunsha","Dark fantasy, Magical girl, Psychological thriller"
Terror in Resonance,TV Mini Series,2014-2014,7.8,13000,"Tokyo has been decimated by a terrorist attack, the only clue to the culprit's identity is a bizarre internet video. Two mysterious children form Sphinx, a clandestine entity determined to p... Read all","Aniplex, Fuji Television Network, Mappa",
"No Game, No Life",TV Mini Series,2014-2014,7.6,18000,"Siblings Sora and Shiro make up the most feared team of pro gamers in the world, The Blank. When they manage to beat God himself in a game of chess, they are sent to a world where all disput... Read all",Madhouse,"Fantasy, Science Fiction"
Owari No Serafu,TV Series,2015-2015,7.4,6600,"In 2012, the world allegedly comes to an end at the hands of a human-made virus, ravaging the global populace and leaving only children untouched. It is at this time that vampires emerge fro... Read all","NBC Universal Entertainment, Shueisha, Wit Studio","Dark fantasy, Post-apocalyptic, Vampire"
Clannad: After Story,TV Series,2008-2009,8.6,12000,A sequel to the anime based on the recently concluded Key Clannad franchise. After Story is a new path that opens in the original visual novel after all other options have been traversed.,"Hikarizaka Koko Engekibu, Kyoto Animation, Movic","Drama, Romance, Supernatural"
Sekirei: Pure Engagement,TV Series,2008-2010,7.3,2700,Minato fails college exams twice leaving him feeling worthless. A woman Musubi falls from the sky and bonds with Minato via a kiss awakening his powers. This draws Minato into a dangerous co... Read all,"Aniplex, Movic, Sekirei Keikaku","Harem, Romantic comedy, Science Fiction"
Ao Haru Ride,TV Series,2014-2014,7.5,6100,"Revolves around Futaba, a girl who was in love with a boy named Ko Tanaka in middle school. However, it did not work because he transferred but in high school, her world is turned around onc... Read all","East Japan Marketing & Communications Inc., Gyao, Hakuhodo DY Media Partners","Coming-of-age, Drama, Romance"
Fate/stay night [Unlimited Blade Works],TV Series,2014-2015,8,8800,"A group of seven mages gets chosen to become masters of seven classes of heroic spirits, in order to fight and win the Holy Grail.","Aniplex, Notes, Type-Moon","Action, Comedy, Adventure, Drama, Mystery, Dark fantasy"
Hataraku Maou-sama!,TV Series,2013-2023,7.5,8500,"Hilarity and fun ensues when Satan ends up in modern day Japan without any magic to return, and starts working part time in a fast food joint.","White Fox, Studio 3Hz","Fantasy, Comedy"
Hyouka,TV Series,2012-2012,7.7,6000,Hyouka centers on Oreki Hotarou and his life in the Classic Literature Club. His mundane world is flipped upside down as they begin to solve various mysteries.,"Kadokawa Pictures, Kadokawa Shoten Publishing Co., Kyoto Animation","Mystery, Slice of life"
Gôruden taimu,TV Series,2013-2014,7.6,4600,"Banri Tada is a freshman at a Tokyo law school. After an accident, he suffers severe memory loss. Despite the incident, he befriends fellow freshman, Mitsuo Yanagisawa, which leads him to th... Read all",J.C. Staff,Romantic drama
World Trigger,TV Series,2014-2023,7.5,1000,"A gate to another dimension has burst open, and from it emerge gigantic invincible creatures that threaten all of humanity. Earth's only defense is a mysterious group of warriors who have co... Read all",Toei Animation,"Action, Science Fiction, Demographic"
Darker Than Black: Kuro No Keiyakusha,TV Series,2007-2010,7.7,12000,"In Tokyo, an impenetrable field known as ""Hell's Gate"" appeared ten years ago. At the same time, psychics who wield paranormal powers at the cost of their conscience also emerged. Hei is one... Read all","Aniplex, Bones, Hakuhodo DY Media Partners","Mystery, Science Fiction, Supernatural thriller"
Kaichou Wa Meido-sama!,TV Series,2010-2011,7.9,8600,"Ayuzawa Misaki serves as the student council president at Seika High. However, unbeknownst to her classmates, she works part-time as an employee at a Maid Cafe. Usui Takumi, a boy from her s... Read all","Geneon Universal Entertainment, Hakusensha, Hakusensha",Romantic comedy
Date a Live,TV Series,2013-2023,6.9,3900,"A boy named Itsuka Shido meets a spirit girl who has been rejected by a devastated world. The girl, who Shido names Tohka, happens to have wiped out much of humanity 30 years ago, and now sh... Read all","AIC Plus, Anime International Company (AIC), Geek Toys","Romantic comedy, Science fantasy"
Higurashi No Naku Koro Ni,TV Series,2006-2006,7.8,6400,The story of a group of young friends and the mysterious events that occur in the rural village of Hinamizawa.,"Frontier Works, Geneon Entertainment, Sotsu","Murder mystery, Psychological horror, Supernatural horror"
Robotech,TV Series,1985-1985,8.5,4000,An alien spaceship crash lands on Earth and the technology and secrets she bears lead Earth into three destructive interplanetary wars.,"ARTMIC Studios, Anime Friend, Anime Friend",
Akatsuki No Yona,TV Series,2014-2015,8,4900,"After being betrayed and run out of her home, the red-haired Princess Yona searches for four legendary dragons to take back her stolen kingdom.","AT-X, Docomo Anime Store, FUNimation Entertainment","Adventure, Epic fantasy, Romance"
Rozario to Banpaia,TV Series,2008-2008,6.9,3600,Tskune accidentally gets on a bus to a school of monsters.,"Gonzo, Yokai Gakuen Shinbunbu","Harem, Romantic comedy, Supernatural"
Witchblade,TV Series,2006-2006,7,1600,"In order to protect her daughter, a young single mother is forced to fight after acquiring a powerful ancient weapon.","Gonzo, Image Comics, Sky Perfect Well Think","Post-apocalyptic, Superhero, Supernatural horror"
Space Battleship Yamato,TV Series,1979-1984,8.4,1600,"In the year 2199, a starship must make a dangerous voyage to the distant planet Iscandar and back to save Earth from an alien invasion.","Yomiuri-TV Enterprise, Mainichi Broadcasting System (MBS), Office Academy","Military science fiction, Space opera"
Log Horizon,TV Series,2013-2021,7.5,4700,"Elder Tale is an online fantasy RPG that has become popular worldwide. But when its twelfth expansion package, ""Novasphere Pioneers"" is installed, thirty thousand players in Japan are trappe... Read all","NHK Enterprises, NHK, Satelight","Adventure, Science Fiction"
Sukûru deizu,TV Mini Series,2007-2007,5.9,2900,"Makoto Itou has a crush on Kotonoha Katsura, who rides the same train as him daily. Following urban legend, he sets her photo as his phone wallpaper - a love charm. When classmate Sekai Saio... Read all","Avex Entertainment, Lantis, Marvelous Entertainment",
Kiss X Sis,TV Mini Series,2010-2010,6,2400,"A middle-school boy is tormented by the suggestive teasing of his older twin step-sisters, both of whom love him.","Feel, Gansis, Kôdansha",
Mahha GoGoGo,TV Series,1967-1968,7.2,3300,"Teenager Gô Mifune aspires to be the world's best race-car champion with the help of his friends, family and his father's high-tech race-car, the Mach 5.","Tatsunoko Production, Yomiko Advertising",
Azumanga Daiô,TV Series,2002-2002,8.2,3400,A humorous and highly unpredictable animated series following a group of high school girls and their teachers.,"Genco, J.C. Staff",
N.H.K ni yôkoso!,TV Series,2006-2006,8.3,7800,This surreal dramedy follows Satou Tatsuhiro as he attempts to escape the evil machinations of the NHK.,Gonzo,
Magi: The Labyrinth of Magic,TV Series,2012-2014,7.8,4700,"Aladdin, Alibaba, and Morgiana go their separate ways after spending time together in Sindria to develop their own strengths, make new friends and prepare for what is coming.","A-1 Pictures, A-1 Pictures, Aniplex",
