Name,Type,Aired,Rating,Votes,Discription,Studio,Genre
RahXephon,TV Series,2002-2002,7.2,1700,"Kamina Ayato lives an ordinary life. He goes to school. He lives with his mother. He has schoolmates. But all of that changes one day when massive machines, known as the Dolem, attack the ci... Read all","Asatsu-DK, Bones, Fuji Television Network",
Gettobakkâzu dakkanya,TV Series,2002-2003,7.4,1100,"Ban Midou and Ginji Amano, two juvenile delinquents from the Shinjuku district of Tokyo, Japan, are also known as a pair of retrievers-for-hire called the GetBackers. Both of them possess su... Read all","Kôdansha, Rondo Robe, Studio DEEN",
Scryed,TV Series,2001-2001,6.9,1200,"22 years ago, a bizarre uprising occurred in Japan's Yokohama region, destroying civilization, killing many, and causing the area to break off from Japan's mainland. This region came to be k... Read all","Bandai Visual Company, Sunrise, TV Tokyo",
Groove Adventure Rave,TV Series,2001-2002,6.8,347,"Haru Glory is a boy who lives with his sister, Cattleya, in Garage Island. After fishing out a thing called Plue, he meets Shiba who entrusted him with Rave Stone or more known as Holy Bring... Read all","Studio DEEN, Tokyopop",
Akagi,TV Series,2005-2006,7.7,737,Genius gambler Shigeru Akagi competes with members of the mafia in mahjong.,Madhouse,
Negima!?,TV Series,2006-2008,6.2,282,The story is about negi the son of the thousand master who has to teach a class of an all girls school as a test that proves that he can blend in with society and become a wizard like his fa... Read all,"Gansis, SHAFT, SHAFT",
Air,TV Series,2005-2005,7,1500,"Yukito Kunisaki is on a journey, seeking a girl with wings who flies in sky, as mentioned in a childhood tale.","Kyoto Animation, Movic, Pony Canyon",
Andersen monogatari,TV Series,1971-1971,7.3,32,The pixies Candy and Zukko appear in Andersen's fairy tales to try to change the endings for the better.,"Mushi Productions, Zuiyo",
Kemonozume,TV Series,2006-2006,7.6,933,"Kemonozume ""Beast Claw"" is an anime series written and directed by Masaaki Yuasa, animated by Studio Madhouse. Since ancient times a race of flesh eating monsters called shokujinki that can ... Read all",Madhouse,
Rozen Maiden,TV Series,2004-2006,6.9,745,A young boy's life is about to change when he finds a doll.,Memory Tech,
Hanamonogatari,TV Mini Series,2014-2014,7.6,2000,"After Araragi Koyomi graduated from high school, Kanbaru Suruga feels lonely because there's no one to talk about Oddities anymore. One day, she heard a rumor about Mr. Devil, who can realiz... Read all","Aniplex, SHAFT",
Tenjô tenge,TV Series,2004-2004,6.8,1300,"An ongoing war takes place at Toudou Academy, where all the students and teachers are equipped in martial arts combat.","Avex Inc., Geneon Entertainment, TV Asahi",
Bokura Wa Minna Kawaisou,TV Series,2014-2015,7.2,760,"Thanks to his parents' job transfer, high school freshman Usa finally gets to enjoy living on his own in the Kawai Complex, a boarding house. Ritsu, the senpai he admires, also lives there, ... Read all",,
Tenkai Knights,TV Series,2013-2023,6.2,135,"Four teenagers use a machine to teleport to another universe named Korton where they become legendary Tenkai Knights. They battle villains, dragons, and monsters with weapons like swords, bo... Read all","Spin Master Studios, Shogakukan-Shueisha Productions",
Kyûteî Hanî,TV Series,1973-1974,6.7,184,Honey Kisaragi is Professor Takeshi Kisaragi's daughter. She studies at a religious school from which she likes to escape frequently. Her father orders her to come home one day through a com... Read all,"Dynamic Planning, Toei Animation",
Kaleido Star,TV Series,2003-2004,7.8,967,"Sora, a young girl from Japan, comes to America in search of her dream. She wants, with all her heart, to be a member of the famous Kaleido Stage, a combination of musicals, acrobatics and m... Read all","Gonzo Digimation, Kaleido Stage, Production I.G.",
Mahoromatic,TV Series,2001-2003,6.7,377,A military robot is decommissioned and works as a loyal maid for the young son of her late creator.,Gainax,
Vandread,TV Series,2000-2001,7,911,In a space-fairing future the war between sexes becomes literal. A kid who works in a factory that produces giant military robots decides to steal one for himself and ends up in the middle o... Read all,"Digimation, G.D.H., Gonzo",
Saishû heiki kanojo,TV Series,2002-2002,6.9,727,A teenage boy and girl struggle to stay in love when the girl's body is transformed into Japan's ultimate weapon.,"Chubu-nippon Broadcasting Company (CBC), Shogakukan, Toei Video Company",
Chikyû shôjo Arjuna,TV Mini Series,2001-2001,7,510,A fatally injured girl is saved in her near death experience to become the chosen defender of Earth.,,
Ai yori aoshi,TV Series,2002-2023,6.9,530,"A naive, traditional girl from the country goes to the city to find the boy she was engaged to as a young girl, and the two childhood friends fall in love.","Aoao Kikaku, J.C. Staff",
Isshuukan Friends,TV Series,2014-2023,7,571,"Kaori has distanced herself from her peers due to a condition that causes her memories to reset every week, but one of her classmates is determined to become friends with her no matter what.","Brains Base, Square Enix Company, Toho Company",
Hyakujû-ô Goraion,TV Series,1981-1982,7.4,190,"5 former Earth slaves make a brazen escape from the evil Galran Empire to the peaceful planet of Altea. There they are asked to pilot the legendary Golion robot, and defend Altea from the vi... Read all","Toei Animation, Tôkyô Dôga",
Gravitation,TV Mini Series,1999-2001,7.2,972,"Aspiring singer Shuichi Shindo and his band, Bad Luck, work to become Japan's next musical sensation, while he struggles to capture Eiri Yuki's attention.","SPE Visual Works, Studio DEEN",
Bakuretsu hunters,TV Series,1995-1996,6.6,172,"In Spurna, the Sorcerers are the rulers and tiranize the people. The people have only one hope: The Sorcerers Hunters, a group of people devoted to free Spurna from the evil sorcerers. They'... Read all","Daume, King Records, T-Up",
Musekinin kanchô Tairâ,TV Series,1993-1996,7.7,492,"The adventures of a space navy captain who is either an incredibly lucky idiot, or an unorthodox genius in tactics.","Big West, Tatsunoko Production, Video Audio Project (VAP)",
Shikabane hime kuro,TV Series,2009-2009,7.1,298,,"Feel, Gainax",
Hiroikku eiji,TV Series,2007-2007,7.1,571,"Set in a distant future, Heroic Age tells the story of the quest of the human race to find the messianic individual that holds the power to save mankind. This savior, named Age, is the only ... Read all","King Records, Xebec, The Klockworx",
Madlax,TV Series,2004-2023,7.2,344,"A beautiful, female blonde assassin with supreme gun fighting skills, accepts contracts to kill villains, and fight against an oppressive army.","Bee Train, TV Tokyo, Victor Entertainment",
Garo the Animation,TV Series,2014-2015,6.7,332,"17 years ago, in the name of witch-hunting, many Makai-Knights and Makai-Priests were murdered at Valiante Kingdom. A Makai-Priestess who is a blood relative of Golden Knight Garo, burned at... Read all",Mappa,
Kikô sôseiki Mospeada,TV Series,1983-1984,7.6,271,A warrior named Stig Bernard and a bunch of other rebels and soldiers must fight a deadly alien race and track down their ruler.,"Artmic, Fuji Television Network, Tatsunoko Production",
Black Blood Brothers,TV Series,2006-2023,6.9,1300,"Remnants of a vampire clan that wanted to rule the world alone, but got defeated in a war by joined forces of other vampires and humans, kidnap the brother of a vampire war veteran. He looks... Read all","BBB Partners, Group TAC (I), Studio Live",
Gurêto Majingâ,TV Series,1974-1975,7.5,471,"The series begins after the battle against Dr. Hell with attacks from the Warrior Beasts. With the Mazinger Z overwhelmed by this new threat, it was almost destroyed until it was rescued by ... Read all","Asatsu-DK, Dynamic Planning, Toei Animation",
Busô renkin,TV Series,2006-2007,6.8,589,"A high-schooler saves a strange girl from a monster, but gets killed. The girl revives him with a magic medallion that also creates a weapon for its owner to fight these monsters. They team ... Read all","Geneon Entertainment, Shueisha, Xebec",
Amagami SS,TV Series,2010-2011,6.8,556,High school student Junichi Tachibana attempts to find love once again after having his heart broken last Christmas. This series follows his romantic endeavors in a sequence of six separate ... Read all,"Anime International Company (AIC), Movic, Pony Canyon",
Sarai-ya goyô,TV Mini Series,2010-2010,7.6,620,"Timid samurai Akitsu Masanosuke becomes involved with the group ""Five Leaves"" after becoming the bodyguard for their mysterious, yet charismatic leader Yaichi.",Manglobe,
Seikai no monshô,TV Series,1999-1999,7.5,528,Jinto is a polite young man whose world was overrun by the biggest empire in the galaxy canned the Abh Empire. He meets the lovely Lafiel who he befriends.,,
Ayakashi,TV Mini Series,2006-2023,7.3,648,"The series is made up of three stories: ""Yotsuya Ghost Story"", an adaptation of the classic Japanese ghost story; ""Goddess of the Dark Tower"", and Goblin Cat.",Toei Animation,
Noein: Mô hitori no kimi he,TV Series,2005-2006,7.5,1000,A teen girl is approached by a pilot who claims to be her from the future where a force from a parallel dimension is attempting to invade and destroy our universe and only she has the key th... Read all,Satelight,
Uchouten Kazoku,TV Series,2013-2023,7.5,411,"In Kyoto there are three kinds of residents: humans, tanuki and tengu. Shimogamo Yasaburou is the third son of the Shimogamo tanuki family. His father was eaten by members of the ""Friday Clu... Read all","Bandai Visual Company, Good Smile Company, Kids Station",
Sukurappudo purinsesu,TV Series,2003-2003,7.4,780,The adventures of a princess prophesized to destroy the world and her magic using sibling warrior bodyguards determined to protect her.,"Bandai Visual Company, Bones",
R.O.D the TV,TV Series,2003-2004,7.5,492,"Nenene, a famous female writer, hires the Paper Sisters, so named due to their ability to manipulate and control paper, as bodyguards.","J.C. Staff, Aniplex, Sony Music Entertainment",
Tsukuyomi: Moon Phase,TV Series,2004-2006,6.7,279,"A magazine photographer Kohei Morioka, is on an assignment in Germany. When Kohei enters a dark German castle, he encounters a young vampire girl named Hazuki. Hazuki tried to turn Kohei int... Read all",SHAFT,
Shirogane no Ishi: Argevollen,TV Series,2014-2023,6.1,74,In a time of war two countries fight for their own ideals using any means necessary. Susumu Tokimune is a new recruit who in his first battle encounters an engineer with a new machine called... Read all,,
Ef: A Tale of Melodies.,TV Series,2008-2008,7.5,483,"In a story set years in the past, Himura Yuu is a studious and diligent young man intent solely on maintaining his top academic position at Otowa Academy. One day, he meets a mysterious girl... Read all","Frontier Works, Geneon Universal Entertainment, Movic",
Ef: A Tale of Melodies.,TV Series,2008-2008,7.5,483,"In a story set years in the past, Himura Yuu is a studious and diligent young man intent solely on maintaining his top academic position at Otowa Academy. One day, he meets a mysterious girl... Read all","Frontier Works, Geneon Universal Entertainment, Movic",
Ayashi no Ceres,TV Series,2000-2000,7.1,512,"Now, in modern day time, Aya Mikage is a descendent of Ceres, and has quite an amount of tennyo blood.","Emotion, Pierrot, Shogakukan-Shueisha Productions",
Popotan,TV Mini Series,2003-2003,6.3,136,"Three sisters are bound to a mysterious house capable of teleporting through time and space. In their travels through twentieth century Japan with their robotic maid, they encounter the hars... Read all",SHAFT,
Hitsugi No Chaika,TV Series,2014-2023,6.9,714,A mysterious girl carrying a coffin is on a quest to gather magical remains scattered throughout the land.,"Bones, Flying Dog, Fujimishobo",
D.N. Angel,TV Series,2003-2003,7,919,"Not-so-average teenager, Daisuke Niwa, has had an abnormal life. His mother and grandfather have trained him his whole life by setting up traps that can kill him if he doesn't figure them ou... Read all",Xebec,
Mekakucity Actors,TV Series,2014-2014,6.4,511,"Shintaro Kisaragi was a NEET who shut himself inside his room for 2 years with a cyber girl named Ene live inside his computer. One day, Ene messes Shintaro's computer, which forces Shintaro... Read all","Aniplex, Mages, Nippon BS Broadcasting Corporation",
Karneval,TV Series,2013-2023,6.8,392,"Nai searches for someone important to him, with only an abandoned bracelet as a clue. Gareki steals and pick-pockets to get by from day to day. The two meet in a strange mansion where they a... Read all",Manglobe,
Yawara!,TV Series,1989-1992,7.3,137,Follows the story of a Japanese girl named Yawara Inokuma over a four year period as she prepares for the Judo competition at the 1992 Barcelona Olympics.,"Kitty Films, Madhouse, Yomiuri Telecasting Corporation (YTV)",
Genshiken,TV Series,2004-2007,7.5,754,The misadventures of the close-knit members of a small anime/manga club on a college campus.,"Studio Palm, Asia-Do, Arms",
Ookamisan to shichinin no nakamatachi,TV Series,2010-2023,7,496,"Ryoko-san and her friends at the Otogi Bank help classmates with their problems, in exchange for their help later on.","AT-X, Flying Dog, Genco",
Kasimasi: Girl Meets Girl,TV Series,2006-2006,6.7,251,"After being rejected by the girl he loves, Hazumu goes to the mountains to console himself. A crashing alien spaceship lands on him. The aliens regenerate his body. However, they could only ... Read all",Bandai Visual Company,
Lost Universe,TV Series,1998-1998,6.9,207,"Kain Blueriver, the hero of this sci-fi comedy, is a Trouble Contractor: he handles cases too difficult and/or dangerous for the Universal Guardians. He always wears a blue cape - even with ... Read all","Medianet, SoftX, TV Tokyo",
Gugure! Kokkuri-san,TV Series,2014-2014,7.2,285,"The original manga revolves around Kohina, a little girl who ends up summoning by a Kokkuri-san, a lower-ranking ghost in Japanese folklore. The Kokkuri-san she calls ends up being a white-h... Read all",,
Saber Marionette J,TV Series,1996-1997,7.4,351,"The male-only planet of Terra II is populated by clones of the six men who were marooned there 300 years before. The only females are robots called ""marionettes,"" who serve as workers and so... Read all",,
Takahashi Rumiko gekijô: Ningyo no mori,TV Series,2003-2023,7.3,176,"A young man unknowingly eats a piece of mermaid's flesh and becomes immortal. For a long time he searches for other mermaids hoping they'll grant him mortality. Finally, he finds them, but t... Read all","Prime Direction, Shogakukan Production, TMS Entertainment",
Ookiku furikabutte,TV Series,2007-2010,7.6,300,"Follows Ren Mihashi, who had previously excelled as his middle school baseball team's ace pitcher, due to his grandfather's connections as its manager. As he graduates to high school, whose ... Read all","A-1 Pictures, Aniplex, Kôdansha",
Seikai no senki,TV Series,2000-2005,7.3,419,"Now that three years has passed since their first adventure, Lafiel is now captain on a new ship and Jinto has just finished his training. They go out to complete a mission of defending the ... Read all","APU Studio, Group Joy, Nakamura Production",
Uta No Prince-sama - Maji Love 1000%,TV Series,2011-2023,6.5,379,"With dreams of becoming a composer and someday writing a song for her favorite idol, Haruka Nanami enters the Saotome Academy, a prestigious performing arts school. If successful there, she'... Read all","A-1 Pictures, Broccoli, Dwango",
Hakushaku to yôsei,TV Series,2008-2008,6.7,329,"While studying fairies in Victorian England, young beautiful Lydia meets a mysterious Earl named Edgar.",,
Orenchi no Furo Jijou,TV Mini Series,2014-2014,6.5,256,A lonely man meets a handsome but homeless merman and brings him home to live with him in his bathtub.,,
Eru kazado,TV Series,2006-2023,7,391,"It's 1742 in Paris, France. Louis XV is still king of France. A woman was found dead in a coffin floating in the Seine River. The brother of the deceased woman is D'Eon, who is determined to... Read all","Production I.G., Shochiku",
Terra e...,TV Series,2007-2007,7.6,300,"In the future, mankind's seemingly utopian society is strictly controlled by the government, and anything that threatens to disrupt the status quo is ruthlessly suppressed. When 14 year-old ... Read all","Aniplex, Mainichi Broadcasting System (MBS), Minamimachi Bugyosho",
Yattâman,TV Series,1977-1979,7.2,226,"A mysterious stone known as Skull Stone is scattered across the planet, and it holds the power to reveal the location of the largest deposit of gold in the world. The Doronbo Gang, the three... Read all",Tatsunoko Production,
Shakugan no Shana II,TV Series,2007-2008,7.2,575,"The heated bond between Shana and Yuji is tested as their paranormal adventures continue. The Flame Haze fends off supernatural foes by night. By day, she contends with a classmate who's als... Read all","ASCII Mediaworks, Geneon Entertainment, J.C. Staff",
The Idolm@ster,TV Series,2011-2011,6.6,221,The arduous struggle of the 13 girls from Talent Production 765 who dream of one day becoming idols in the competitive Japanese entertainment industry.,"A-1 Pictures, Aniplex, Namco Bandai Games",
Bannô bunka nekomusume,TV Mini Series,1992-1992,7,223,Ryunosuke's pet cat passes away in a accident and his inventor father brings the cat back to life by putting it's brain in an android body in the shape of a young woman.,"King Records, Movic",
Sakura Wars,TV Series,2000-2000,7.1,115,"The year is around the 1920's and the darkness of the demons have arrived. Now, only the people with large amounts of spirit energy can save the Earth. The Flower Division is now going to be... Read all",Madhouse,
Kidou tenshi enjerikku reiyâ,TV Series,2001-2001,6.8,341,"A young girl battles her way through the exciting games of Angelic Layer, where players fight with tiny robotic dolls to win the national championship.","TV Tokyo, Dentsu, Bones",
Furumûn wo sagashite,TV Series,2002-2003,7.7,257,"Twelve-year-old Mitsuki loves to sing and she dreams of becoming a famous singer to fulfill a promise she made to Eichi, a close friend who moved away to American two years previously. Unfor... Read all","Nihon Ad Systems (NAS), Studio DEEN, TV Tokyo",
Tales of the Abyss,TV Series,2008-2009,6.7,216,Pampered prince Luke is suddenly thrown from a life of luxury to an adventure that will lead him to the truth about his reality.,"Bandai Visual Company, Namco, Sunrise",
Chôjikû kidan Sazan Kurosu,TV Series,1984-1984,6.8,161,"In the far future, a human colony planet fights a desperate war against a formidable alien invasion force with its own tensions.",Tatsunoko Production,
Onegai Twins,TV Mini Series,2003-2004,6.3,593,"A boy named Maiku gets the surprise of his life when two girls show up on his doorstep and demand to live with him. Only problem is, one of them is his twin sister.","Bandai Visual Company, Daume, Genco",
Kami sama no memo chô,TV Series,2011-2011,6.6,290,"Narumi is an assistant to detective Alice, a NEET teenage girl who stays in her pajamas and operates within her bedroom. She uses her vast network of people and the internet to solve cases.","ASCII Mediaworks, AT-X, J.C. Staff",
Selector Infected WIXOSS,TV Series,2014-2014,6.1,180,"It's hard being the new girl, and Ruuko Kominato knows this better than anyone. She has yet to make any new friends after moving to a new town. Her brother sees her struggling and gives her ... Read all","Fuji Television Network, J.C. Staff, Showgate",
Najika dengeki sakusen,TV Series,2001-2023,5.9,187,Najica Hiragi spends her days dreaming up the most alluring scents known to man... and her nights fighting the world's criminal element as special agent for CRI.,"Amber Film Works, Studio Fantasia",
Gasaraki,TV Series,1998-1999,6.5,301,"The US and fictional Middle-Eastern Belgistan are at war. The US takes heavy loses when Belgistan uses their giant robots, but they get help in military aid from Japan including a superb gia... Read all","Bandai Visual Company, Sunrise, Television Osaka (TVO)",
"Ore, Twintails ni Narimasu",TV Series,2014-2014,6.4,160,"""Gonna Be The Twin-Tails!!"" is about Mitsuka Souji, a boy who's in love with twin tails. He is soon approached by Twoearle, who grants him the power to defeat the Ultimaguil with his love fo... Read all",,
Tokyo ESP,TV Series,2014-2014,6.3,304,"A serie of several teenagers who has super powers that can do amazing things , and the hero of this serie is the girl that find her self with a white hair when she use her super power , late... Read all","Lantis, Rakuonsha, Xebec",
H2O: Footprints in the Sand,TV Series,2008-2008,6.1,151,"Hirose is a blind young male high school student, with mystery cause. In order to heal his medical condition, he is sent to live in a village with his uncle. There, he meets several girls th... Read all","Broccoli, Kadokawa Pictures, Kadokawa Shoten Publishing Co.",
Tantei gakuen Q,TV Series,2003-2004,8.1,310,A young and enthusiastic student anticipates joining the countries most proven detective school where he finds incredibly talented friends and various mysteries lurking ahead.,"Marvelous Entertainment, Pierrot",
Mugen no rivaiasu,TV Series,1999-2000,7,275,Over 400 teenagers are stranded without adult supervision aboard a prototype space battleship after their astronaut training school is sabotaged by an outside group.,"Bandai Visual Company, Sunrise, TV Tokyo",
Denei shôjo Ai,TV Mini Series,1992-1992,7.4,726,"Yota's heart is thoroughly broken one afternoon, when Moemi, the love of his life confesses her love for his best friend Takashi. With a hope of cheering himself up, he rents a video, ""Video... Read all","I.G Tatsunoko, Production I.G., Shueisha",
Ninja Slayer,TV Series,2015-2023,6,98,"When a salaryman's wife and child are slain in a ninja war, he fuses with a supernatural entity to take vengeance on all ninjas.",Trigger,
Shakugan no Shana III: Final,TV Series,2011-2012,7.1,364,Yuji disappeared the fateful night he was supposed to choose between a life combating evil by Shana's side or as a normal teenager. He returns from near-death to lead the Crimson Denizens in... Read all,"ASCII Mediaworks, Geneon Universal Entertainment, J.C. Staff",
Galaxy Angel,TV Series,2000-2005,6.6,132,"The astronomical adventures of the Angel Brigade, a squad of females dispatched to retrieve powerful objects scattered around the Milky Way.","Bandai Visual Company, Broccoli, Madhouse",
Ô dorobô Jing,TV Mini Series,2002-2023,6.3,176,Story about master-thief Jing and his exploits to steel everything he deems valuable in the world. His also has a talking albatross Kir for a sidekick.,"Aniplex, Studio DEEN",
Banbû brêdo,TV Series,2007-2008,7.3,314,"A school kendo club is in need of talent and participation when the petite and talented Tamaki is drafted. With her understated sense of justice and ample strength, Tamaki becomes an inspira... Read all","Square Enix Company, JVC Entertainment, The Klockworx",
Nobunaga za fûru,TV Series,2014-2023,6.2,123,"Jeanne Kaguya D'Arc was prophesied to be the Savior of the World at her birth. On a different planet, Nobunaga ""the Fool"" longs for the power to change the world. When these two people meet,... Read all","Lantis, Satelight",
El Hazard: Wanderers,TV Series,1995-1996,6.6,162,"Thrown into another world, a group of high school friends look for a way home while helping the people they meet there.","Anime International Company (AIC), Mannensha, Pioneer LDC",
Arison to Riria,TV Series,2008-2008,7.6,95,"Follows a young woman then, later, her daughter as they get caught up in political intrigue, assassination attempts, war ending adventures and their own romantic involvements.",,
Coyote Ragtime Show,TV Series,2006-2006,6.3,207,"In an alternate galaxy, there's an outlaw named Mister who's 10 days from his prison release. He escapes from prison with the help of his comrades Bishop and Katana. As they seek out to find... Read all","Coyote Project, Ufotable",
Ushinawareta Mirai wo Motomete,TV Series,2014-2015,6.9,92,An astronomy club gets caught up in a bizarre series of events at an old school building while trying to unravel the circumstances revolving around the sudden appearance of a mysterious tran... Read all,Feel,
Komikku pâtî,TV Series,2001-2001,6.7,88,"Kazuki Sendou, a high school student, is drawn by his megalomaniac friend Taishi into the strange world of fan comic conventions and cosplay (costume play), as well as the various types that... Read all","Aqua Plus, KSS, Oriental Light and Magic (OLM)",
Sora No Method,TV Series,2014-2023,6.5,79,,"Bandai Visual Company, Bushiroad, Cospa",
Hyper Police,TV Series,1997-1997,7.7,125,"It is the year 22 H. C. (Holy Century), Shinjuku is populated by monsters and goblins. Humans are endangered and the town is rife with crime.",Pierrot,
Flag,TV Series,2006-2023,6.5,139,Saeko Shirasu is a 25-year-old war frontline photo-journalist who became a celebrity after taking a picture of civilians raising a makeshift UN flag in war-torn Uddiyana. The image then beca... Read all,"Aniplex, Team Flag, The Answer Studio",
Kurenai Sanshiro,TV Series,1969-1969,7,119,"After the death of his father, a young man named Kurenai Sanshiro seeks revenge for an unknown one-eyed man who killed his father, master of Kurenai style judo. Sanshiro's companions are a l... Read all",Tatsunoko Production,
Mahô shôjo Lalabelle,TV Series,1980-1981,7.1,43,"Lalabelle, a witch from the land of magic, is coming to earth to stop evil wizard Biscus.","Asatsu-DK, Toei Animation, Toei Doga",
Saber Marionette J Again,TV Mini Series,1997-1998,7.2,117,"The reformed marionettes Tiger, Luchs, and Panther are sent to stay with Otaru to learn more about being human. A new mysterious marionette named Marine also appears.",,
Glasslip,TV Series,2014-2023,5,198,"Touko often watches a hallucination in the glitters. In her last summer holidays of a school, Kakeru who is strange transfer student appears before her and her friends. Kakeru tells Touko th... Read all","Infinite, Lantis, P.A. Works",
Janguru wa itsumo hare nochi Guu,TV Series,2001-2001,7.7,304,A jungle boy named Hare becomes a companion of a strange girl named Guu who apparently has a strange world inside of her stomach.,"Shin Ei Animation, Sôtsû Eizô, TV Tokyo",
Saber Marionette J to X,TV Series,1998-1999,7,169,"Taking place mere months after the Saber Marionette J OVA series, this newest installment in the Saber Marionette line follows the continuing adventures of Otaru and his clan of selfless, ob... Read all","Hal Film Maker, Sôtsû Eizô",
Fantastic Children,TV Series,2004-2005,7.4,242,A girl named Helga is an orphan with her only friend Cheeto by her side. She has this place in her head that she continues to draw dreaming she will get there someday. Meanwhile the children... Read all,Nippon Animation Co.,
Dragon League,TV Series,1993-1994,7.5,34,,Fuji Television Network,
Mahô no yousei Persia,TV Series,1984-1985,7.2,59,Little girl Pelsia can transform into a pretty teenager and tries to bring happiness to the world.,Pierrot,
Denki-Gai no Honya-san,TV Series,2014-2014,6.6,143,"A young and shy boy named Umio, started to work for a comic book store. All his other friends already work there, and they get into some new trouble every week.",Shin Ei Animation,
Yume de aetara,TV Series,1998-1998,6.8,59,"The story of Masuo Fuguno, an unlucky salesman who constantly juggles between two women: his friend Miho and his love Nagisa.","Tokuma Japan Communications, Tokyo Broadcasting System (TBS)",
Rozen Maiden,TV Series,2013-2023,6.9,147,,,
Mahôjin guru guru,TV Series,1994-1995,7.7,94,A fantasy comedy about children destined to save the world from an ancient evil while constantly parodying aspects of console role playing games.,Nippon Animation Co.,
